id,name,country,date,description,total_affected,total_injured,total_missing,total_displaced,economic_impact,total_damaged_houses,total_damaged_schools,total_damaged_health_facilities
52004,Ethiopia: Floods - May 2024,Ethiopia,2024-05-17T08:19:22+00:00,"Weeks of heavy rainfall and flooding in the East Africa region have triggered widespread displacement, with hundreds of thousands displaced across Burundi, Kenya, Rwanda, Somalia, Ethiopia and Tanzania. So far 637,000 people have been affected, including 234,000 displaced as of 3 May 2024, according to the UN Office for Coordination of Humanitarian Affairs, but the numbers keep rising. ([IOM, 8 May 2024](https://reliefweb.int/report/ethiopia/ethiopia-floods-dg-echo-ethiopian-red-cross-society-echo-daily-flash-16-may-2024))

Heavy rainfall since early May has caused severe flooding, affecting 9 villages of the Gujis, in southern Oromia; flooding has also been reported in some areas of Sidama, Central Ethiopia and South Ethiopia. In West Guji alone, 120,481 people have been affected, with 102,128 people displaced and five deaths. ([ECHO, 16 May 2024](https://reliefweb.int/report/ethiopia/ethiopia-floods-dg-echo-ethiopian-red-cross-society-echo-daily-flash-16-may-2024))",0,0,0,0,0,0,0,0
52002,Uganda: Floods - May 2024,Uganda,2024-05-15T13:50:09+00:00,"Since the end of April, heavy rainfall has been affecting several parts of Uganda, causing floods and leading to casualties and damage. According to the International Federation of Red Cross and Red Crescent Societies (IFRC), as many as 49 people died, 28 are still missing, and 296 others have been injured. In addition, almost 18,500 people have been displaced and 39,185 affected across more than 15 districts of the country. For the next 48 hours, moderate rain is expected across the northern, central and southern parts of Uganda. With DG ECHO support, IFRC, through the Uganda Red Cross Society, is providing assistance with distribution of Non-Food Items (NFIs), de-silting kits to de-silt water channels and construct partly destroyed shelters, deployment of Red Cross volunteers, and is engaged in the search and rescue response along with district authorities. ([ECHO, 15 May 2024](https://reliefweb.int/node/4062536))",0,0,0,0,0,0,0,0
51991,Rwanda: Floods - Apr 2024,Rwanda,2024-05-06T11:21:48+00:00,"In Rwanda, heavy rains and floods killed 14 people in Nyanza District, injured 27 in Burera District and damaged roads, bridges and 123 houses since 28 April and as of 2 May. Several hectares of rice and banana plantation in Ruhango District have been damaged, according to local authorities. Heavy rainfall, ranging between 40-50 mm, with thunderstorms is predicted to affect 17 districts across Northern, Western and Southern provinces between 30 April and 4 May, according to the Rwanda Meteorology Agency. Burera, Nyanza, Gakenke, and Ngororero districts received the highest amount of rainfall ranging from 84 to 105.2 mm between 30 April and 2 May. Impact such as severe widespread flooding to rivers, swamps and low-lying areas, landslides and damage to infrastructure are likely. ([OCHA,  3 May 2024](https://reliefweb.int/node/4059782))",0,0,0,0,0,0,0,0
51982,Tanzania: Floods - Apr 2024,United Republic of Tanzania,2024-04-26T12:34:49+00:00,"Heavy rainfall continues to affect most of Tanzania (in particular Dodoma and Dar es Salaam city areas) since early April, causing floods, flash floods and triggering landslides that have resulted in casualties and widespread damage. Media report, as of 26 April, 155 fatalities, 236 injured people, more than 200,000 affected people and approximately 10,000 damaged and destroyed buildings (included many schools) across the country. In addition, several roads and bridges have been damaged. Over the next 24 hours, more heavy rainfall with locally very heavy rainfall is still forecasted over most of the country. ([ECHO, 26 Apr 2024](https://reliefweb.int/node/4058040))

Heavy rains on 7 April caused severe flooding in Rufiji and Kibiti districts in the Pwani Region, in the east, affecting villages near the Rufiji River and its tributaries. Preliminary assessment information indicates that in Rufiji, 25 villages were affected, while in Kibiti, 10 villages were affected, resulting in loss of lives, injuries, and damage to infrastructure, settlements, schools, farmlands, and crops. Nearly 125,670 people were affected, as of 29 April, according to initial reports. Preliminary findings indicate that 10 schools have been closed (7 schools in Rufiji and 3 in Kibiti) affecting over 1,900 school children. ([OCHA, 3 May 2024](https://reliefweb.int/node/4059782))
### Appeals & Response Plans

- [![IFRC: Tanzania, Africa | Floods and landslides 2023-24 - Revised Emergency Appeal (MDRTZ035) - Cover preview](https://reliefweb.int/sites/default/files/styles/small/public/previews/70/0d/700d0d9a-6934-4b3c-8efa-1cbf4b2cb1cf.png) IFRC: Tanzania, Africa | Floods and landslides 2023-24 - Revised Emergency Appeal (MDRTZ035)](https://reliefweb.int/node/4060663)",0,0,0,0,0,0,0,0
51980,Somalia: Floods - Apr 2024,Somalia,2024-04-25T17:24:59+00:00,"The Gu (April to June) rains are intensifying with flash floods reported since 19 April. Four people, three boys in Somaliland and a six-year-old girl in Hirshabelle State have been reportedly killed; about 100 shelters for displaced people destroyed and at least 134 families (804 people) affected or displaced across Somalia. ([OCHA, 22 Apr 2024](https://reliefweb.int/node/4056724))

Heavy rains have led to localized floodings which have affected an estimated 124,155 people across Somalia as of 28 April, with more than 5,130 displaced and seven children killed, according to partners in the field. The children included three in Somaliland and four in Hirshabelle State. The worst affected are Jubaland, Hirshabelle and South West states. On 27 April, flash floods inundated roads connecting Dhobley and Afmadow districts and its environs in Jubaland State, temporarily making the roads impassable thereby affecting an estimated 60,000 people in the two districts. The local airstrips in Dhobley and Afmadow are flooded. Moderate rains have also been reported in Middle Juba and Gedo region, notably in Doolow, Luuq, and Bualle. ([OCHA, 28 Apr 2024](https://reliefweb.int/node/4058315))
### Appeals & Response Plans

- [![GBV AoR: GBV AoR Gu Season’s Preparedness & Response Plan 2024 - Cover preview](https://reliefweb.int/sites/default/files/styles/small/public/previews/cc/74/cc7496ff-72a3-4d96-be1f-cd047af12bfd.png) GBV AoR: GBV AoR Gu Season’s Preparedness & Response Plan 2024](https://reliefweb.int/node/4058273)",0,0,0,0,0,0,0,0
51963,Kenya: Floods - Apr 2024,Kenya,2024-04-15T07:32:14+00:00,"The last week of March marked the start of the long rains season (March to May) characterised by isolated heavy storms that caused heavy rainfall and flash floods in several parts of the country. At least 13 people have died, nearly 3,000 households displaced, over 339 livestock killed, and unknown acres of croplands lost due to flooding in the country, according to initial reports. Areas of particular concern include Marsabit, Turkana, Tana River, Garissa, Kirinyaga, Muranga, Kiambu, Meru, Kisumu, Nairobi and Kitui counties. Humanitarian partners are moving emergency shelter and non-food items to regions at risk of flooding while working with authorities to assess the needs alongside scaling up response to affected communities. Authorities have issued advisories on the continuation of heavy rainfall in most parts of the country from 9 – 15 April. ([OCHA, 11 Apr 2024](https://reliefweb.int/node/4053834))

The number of people impacted by the March-May long rains continue to rise, with an estimated 103,485 people (20, 697 households) affected including 40,265 people (8,053 households) displaced; 32 deaths, and 15 injured across the country as of 18 April, according to the Kenya Red Cross Society. The heavy rains causing floods have also resulted in loss of livelihoods, including livestock, cropland, and destruction of small businesses. Damage to schools, water sources, and major roads have also been reported. ([OCHA, 19 Apr 2024](https://reliefweb.int/node/4056081))


Heavy rains and flash floods have left more than 103 people dead, 29 injured, 21 people missing, 150,365 people (30,073 families) displaced and nearly 191,000 affected across the country as of 28 April, according to the National Disaster Operations Centre (NDOC). A dam burst in the morning of 29 April in the southern town of Mai Mahiu in Nakuru County, reportedly killing dozens of people and affecting scores of others as Kenya experiences El Nino-induced above-average rains. Search and rescue operations by the authorities are ongoing. As of 24 April, over 4,824 livestock have been lost, 27,717 acres of croplands damaged, 264 small businesses and 24 schools affected. ([OCHA, 29 Apr 2024](https://reliefweb.int/node/4058571))

Heavy rainfall continues to affect most of Kenya since the beginning of March (the long rainy season lasts from March to May), causing rivers overflow (particularly the Tana and the Mara rivers), floods, flash floods and triggering landslides that have resulted in additional casualties and severe damage. The Kenya Red Cross reports, as of 1 May, 166 fatalities, 132 missing people, 23,511 displaced households (approximately 117,555 individuals) and 43,888 affected households (approximately 219,440 individuals). On 29 April, the Old Kijabe dam, located in the Mai Mahiu area of the Great Rift Valley region, burst amid torrential rainfall. At least 50 casualties have been recorded but the death toll might increase. Rescue efforts are still ongoing. ([ECHO, 2 May 2024](https://reliefweb.int/node/4059283))

Heavy rainfall is currently affecting 38 of the 47 counties in Kenya (i.e 80% of the country), causing floods, triggering landslides and resulting in an increasing number of casualties and damage. Tropical Cyclone HIDAYA is expected to bring further heavy rainfall to the coastal areas of Kenya. Humanitarian partners are closely monitoring the situation and they sit ready to respond. According to the UN Office for the Coordination of Humanitarian Affairs (OCHA), as of 3 May, at least 210 people have died, 164 have been injured and 72 are still missing. In addition, more than 205,000 people have been affected and 194,305 displaced. At least 52 people died because of the mudslide that occurred in Mai Mahiu on 29 April. Search and rescue operations are still ongoing in Nakuru, Nairobi, Kirinyaga, Homa Bay and Tana River. According to the Ministry of Health, the heavy rainfall and consequent floods have also led to a fourth cholera outbreak. ([ECHO, 6 May 2024](https://reliefweb.int/node/4060056))
### Appeals & Response Plans

- [![IFRC: Kenya, Africa | El Niño Floods 2023-24 Emergency Appeal MDRKE058 (Revision # 1) - Cover preview](https://reliefweb.int/sites/default/files/styles/small/public/previews/c9/4c/c94cf8fb-f6ab-4acd-bb45-372fd127a1af.png) IFRC: Kenya, Africa | El Niño Floods 2023-24 Emergency Appeal MDRKE058 (Revision # 1)](https://reliefweb.int/node/4063266)",0,0,0,0,0,0,0,0
51873,South Sudan: Hepatitis E Outbreak - Sep 2023,South Sudan,2024-01-30T11:32:34+00:00,"On 26th September 2023, the National Ministry of Health declared a Hepatitis E Virus outbreak in Old Fangak, Jonglei State and Greater Pibor Administrative Area, after 3 out of 13 samples tested positive for HEV. The outbreak has affected 63 people and caused 12 deaths, with a case fatality rate of 19%. ([UNICEF, 3 November 2023](https://reliefweb.int/node/4011661))

In Fangak county, Jonglei State, a Hepatitis E Virus (HEV) outbreak was declared in September 2023, with 118 cumulative cases recorded, including 6 deaths. UNICEF State Health, WASH, and SBC teams, in October 2023, mobilized a response with implementing partners and local authorities to contain the outbreak.  ([UNICEF, 7 December 2023](https://reliefweb.int/node/4021069))

In response to a deadly Hepatitis E outbreak in South Sudan, Doctors Without Borders/Médecins Sans Frontières (MSF) has launched a mass vaccination campaign in collaboration with the Ministry of Health to safeguard women and girls of reproductive age, who are at greatest risk of death from the disease. Since April 2023, 501 cases of Hepatitis E have been treated at the MSF hospital in Old Fangak, Jonglei state, and 21 people have died—mainly women. The fatality can be as high as 40 percent for pregnant women, and there is no cure, meaning that many people with advanced stages of illness do not survive. MSF's vaccination campaign is the first to be conducted during the acute stages of an active Hepatitis E outbreak anywhere in the world. It is made more challenging by the remoteness and isolation of the area of South Sudan where it is taking place. But if the campaign succeeds, it will save lives. ([MSF, 29 January 2024](https://reliefweb.int/node/4033620))

The current outbreak in Bentiu POC continues. As of 18 September 2023, a cumulative total of 63 cases with symptoms and signs consistent with HEV disease and 12 deaths (CFR 19%) were reported from Fangak. Most cases (36.5%) are from the village of Old Fangak. The median age group affected is 33 years (Interquartile range: 2 -59). Males are the most affected accounting for 58.7% of all reported cases. ([WHO, 20 Feb 2024.](https://reliefweb.int/node/4039961))

As of 24 March 2024, Hepatitis E oubreak was ongoing in South Sudan. On 04 March 2024, Warrap State government in South Sudan officially declared an outbreak of hepatitis E in Twic County, prompted by a 3-year-old girl's positive test result, marking a significant public health concern in the region. This alarming declaration came after 2 individuals exhibited symptoms consistent with hepatitis E and one positive case was confirmed in Juba after laboratory tests. PH prevention measures are underway.  ([WHO, 24 Mar 2024.](https://reliefweb.int/node/4053297))",0,0,0,0,0,0,0,0
51840,Uganda: Anthrax Outbreak - Nov 2023,Uganda,2023-12-15T13:59:02+00:00,"Anthrax outbreak was confirmed on 29th November 2023 in Kabira, Kasasa and Lwankoni sub-counties in Kyotera district. According to the district surveillance team, Kyotera district anthrax possibly started in June 2023 on a farm in Kkyamayembe Sub-County following the consumption of meat of a dead cow. The victims presented with various signs including itchy rash, swelling and skin lesions. In early July, the first human death was reported and 24 animal deaths by October 31,2023. The consumption of meat of the dead animals continued and 3 humans developed signs of the disease. ([IFRC, 15 Dec 2023](https://reliefweb.int/node/4023530))

Human anthrax outbreak which started in 2023 is still ongoing in Uganda. Amudat district reported 2 suspected anthrax cases from Karita HC IV in epi week 10 and other 2 in epi week 9. The district rapid response team has been notified to investigate the event. There were zero new cases in the 8 remaining affected districts (except in Amudat) and zero deaths in all the 9 affected districts of Abim, Amudat, Kaabong, Karenga, Kotido, Moroto, Nabilatuk, Nakapiripiri, Napak. [WHO, 24 Mar 2023](https://reliefweb.int/node/4053297))",0,0,0,0,0,0,0,0
51815,Burundi: Floods and Landslides - Oct 2023,Burundi,2023-11-20T04:07:51+00:00,"Intense rainfall of 26 to 27 October resulting in strong winds and floods that affected Cibitoke. Other floods were reported earlier but from assessment done by NS on 2 November, Cibitoke remains the most affected so far. 1,590 people are identified as affected in the communes of Buganda, Murwi and Rugombo in Cibitoke. In the province and more precisely in the three communes, following the landslides recorded and floods that impacted Cibitoke, hundreds of households are displaced and have found refuge in host households. [...] From cumulative incident reports, since October 2023, some provinces have started facing heavy rain with strong winds which caused the following damages. Since October, localized floods in Makamba, Ngozi, Cibitoke led to 7 dead, 34 persons injured. Multiple events of strong winds, landslides and flooding from early October have made 4456 affected people and damaged infrastructures. However, the worst affected areas for now remain Cibitoke. ([IFRC, 20 Nov 2023](https://reliefweb.int/node/4016067))

The situation evolved from October to December as predicted by weather forecasts; Bujumbura faced additional flooding, affecting the 4 communes of Bujumbura Mairie. Currently, 7,722 people are affected in Bujumbura Mairie following the heavy rains that fell on the night of December 26 to 27, 2023. 4 areas are affected, namely Kinama, Buterere, Musaga and Kanyosha, but the most affected is Buterere, with a total of 5,574 people affected. These rains also caused the displacement of 900 people, the destruction of 1,287 houses, the displacement left several injured and one dead. All these households are with host families. The president of the national platform for risk prevention and disaster management asked for help from Burundi Red Cross of in order to provide assistance to these people in distress. ([IFRC, 18 Jan 2024](https://reliefweb.int/node/4030874))    

Due to the intense rainfall associated with the El Niño phenomenon, the water level of Lake Tanganyika surged, leading to flooding in communities across 39 hills in 9 communes of Bujumbura (Mutimbuzi and Kabezi communes), Mairie Province (Muha, Mukaza, and Ntahangwa communes), Rumonge Province (Muhuta, Bugarama, and Rumonge communes), and Makamba Province (Nyanza Lac commune). This event exacerbated the ongoing flood and landslide operations in Cibitoke and Bujumbura Mairie, affecting areas like Murwi, Buganda, and Rugombo in Cibutoke Province, as well as Kinama, Kanyosha, and Buterere in Bujumbura Mairie. Since March 12, 2024, the water level of Lake Tanganyika has risen by 776.76 meters, exceeding the normal level by 1.76 meters, marking the most severe increase in sixty years. In recent days, local residents have had to halt their activities, with some forced to evacuate as the lake continues to encroach upon inhabited areas. The rising waters of Lake Tanganyika have impacted 10 communes across 4 provinces, affecting all households in the vicinity. Currently, 162,356 people are at high risk, while 66,391 individuals are already in need of assistance. Comparing the current rise in water levels to those of 2021, observations suggest an increase of approximately 100cm. The Ministry of Environment and Agriculture has advised residents in affected areas to relocate to safer, non-flooded zones.([IFRC, 1 Apr 2024](https://reliefweb.int/node/4055452))
### Appeals & Response Plans

- [![OCHA: Burundi: Plan de réponse inondations et montée du lac Tanganyika (effets El-Niño) - Cover preview](https://reliefweb.int/sites/default/files/styles/small/public/previews/cb/c1/cbc19321-5260-4d34-9ac9-eb4856d6d3f0.png) OCHA: Burundi: Plan de réponse inondations et montée du lac Tanganyika (effets El-Niño)](https://reliefweb.int/node/4060921)",0,0,0,0,0,0,0,0
51811,Tanzania: Floods - Nov 2023,United Republic of Tanzania,2023-11-16T13:00:50+00:00,"Heavy rainfall has been affecting northern Tanzania, in particular the Arusha Region, bordering with southern Kenya since late October, causing floods, flash floods and rivers overflow that have resulted casualties and damage. Media report, as of 16 November, ten fatalities, approximately 90 displaced families and a number of damaged houses and bridges across the Arusha District, Arusha Region. The worst affected villages and neighbourhoods in Arusha District are Muriet, Terrat, Elerai, Morombo, Lolovono and Ngarenaro. Over the next 24 hours, more heavy rainfall with locally very heavy rainfall is forecast over most of the country. ([ECHO, 16 Nov 2023](https://reliefweb.int/node/4015295))

The latest update received from local government, shared on 13 November, reported more than 10,090 people, or 2,018 households suffered floods and landslide are affected with 12 deaths reported, 1,245 houses completely destroyed, and 1,074 latrines collapsed. The figures are likely to increase given the difficult access to most of the affected areas due to water levels. People in these affected areas have been evacuated to earlier mapped out safer areas. However, they have limited access to basic services. ([IFRC, 23 Nov 2023](https://reliefweb.int/node/4017398))

Heavy rainfall has been affecting northern, western and eastern Tanzania since mid-October due to the so-termed short rainy season that lasts from October to December causing floods, flash floods, rivers overflow and triggering landslides that have resulted in more casualties and widespread damage. The worst affected are the Arusha Region in the north bordering with southern Kenya, the Kigoma and Kagera Regions in the west bordering with Rwanda and Burundi and the Coast Region as well as the Zanzibar Island in the east. Also Dar es Salaam, the main city of the country was severely affected. [ECHO, 24 Nov 2023](https://reliefweb.int/node/4017510)

Heavy rainfall has been affecting northern Tanzania, in particular the Manyara Region, since 2 December, causing severe floods and triggering several landslides that have resulted in casualties and widespread damage. Media report, as of 4 December, 47 fatalities and 85 injured people in the Katesh Town area, north of the Capital Dodoma, Hanang District, western Manyara Region, mainly due to landslides occurred on 2-3 December. In addition, media also reports an unconfirmed number of damaged houses and several blocked roads across the affected area. Over the next 96 hours, more heavy rainfall with locally very heavy rainfall is still forecast over the whole country. ([ECHO, 4 Dec 2023](https://reliefweb.int/node/4019875))

Heavy rainfall affected northern Tanzania, in particular the Manyara Region, over the period from 2 to 6 December, causing severe floods, flash floods and triggering several landslides that have resulted in more casualties and widespread damage. Local media report, as of 7 December, 69 fatalities and nearly 120 injured people in the Katesh Town area, north of the Capital Dodoma, Hanang District, western Manyara Region, mainly due to landslides occurred on 2-3 December. In addition, media also reports a total of approximately 1,150 damaged houses across the affected area. Over the next 96 hours, more heavy rainfall with locally very heavy rainfall is still forecast over the whole country. ([ECHO, 7 Dec 2023](https://reliefweb.int/node/4020995))",0,0,0,0,0,0,0,0
